DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,UNSTRIPPEDDIAGNOSISCODE,PARENTDIAGNOSISCODE
I5022,Chronic systolic (congestive) heart failure,I50.22,I502
J3489,Other specified disorders of nose and nasal sinuses,J34.89,J348
H9209,"Otalgia, unspecified ear",H92.09,H920
F17200,"Nicotine dependence, unspecified, uncomplicated",F17.200,F1720
Z9229,Personal history of other drug therapy,Z92.29,Z922
I119,Hypertensive heart disease without heart failure,I11.9,I11
L853,Xerosis cutis,L85.3,L85
L309,"Dermatitis, unspecified",L30.9,L30
S5001XD,"Contusion of right elbow, subsequent encounter",S50.01XD,S5001
C259,"Malignant neoplasm of pancreas, unspecified",C25.9,C25
C801,"Malignant (primary) neoplasm, unspecified",C80.1,C80
I2584,Coronary atherosclerosis due to calcified coronary lesion,I25.84,I258
F4320,"Adjustment disorder, unspecified",F43.20,F432
L97221,Non-prs chronic ulcer of left calf limited to brkdwn skin,L97.221,L9722
J339,"Nasal polyp, unspecified",J33.9,J33
Z125,Encounter for screening for malignant neoplasm of prostate,Z12.5,Z12
Z950,Presence of cardiac pacemaker,Z95.0,Z95
F0280,Dementia in oth diseases classd elswhr w/o behavrl disturb,F02.80,F028
R82998,Other abnormal findings in urine,R82.998,R8299
M79606,"Pain in leg, unspecified",M79.606,M7960
Z636,Dependent relative needing care at home,Z63.6,Z63
S91104A,"Unsp opn wnd right lesser toe(s) w/o damage to nail, init",S91.104A,S91104
Z85828,Personal history of other malignant neoplasm of skin,Z85.828,Z8582
L570,Actinic keratosis,L57.0,L57
G912,(Idiopathic) normal pressure hydrocephalus,G91.2,G91
L930,Discoid lupus erythematosus,L93.0,L93
I129,Hypertensive chronic kidney disease w stg 1-4/unsp chr kdny,I12.9,I12
H409,Unspecified glaucoma,H40.9,H40
K08539,"Fractured dental restorative material, unspecified",K08.539,K0853
K760,"Fatty (change of) liver, not elsewhere classified",K76.0,K76
J159,Unspecified bacterial pneumonia,J15.9,J15
E11319,Type 2 diabetes w unsp diabetic rtnop w/o macular edema,E11.319,E1131
F909,"Attention-deficit hyperactivity disorder, unspecified type",F90.9,F90
F05,Delirium due to known physiological condition,F05,
D528,Other folate deficiency anemias,D52.8,D52
N401,Benign prostatic hyperplasia with lower urinary tract symp,N40.1,N40
R4181,Age-related cognitive decline,R41.81,R418
S0180XD,"Unspecified open wound of other part of head, subs encntr",S01.80XD,S0180
R630,Anorexia,R63.0,R63
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
E038,Other specified hypothyroidism,E03.8,E03
J14,Pneumonia due to Hemophilus influenzae,J14,
Z09,Encntr for f/u exam aft trtmt for cond oth than malig neoplm,Z09,
Z87448,Personal history of other diseases of urinary system,Z87.448,Z8744
R2231,"Localized swelling, mass and lump, right upper limb",R22.31,R223
D508,Other iron deficiency anemias,D50.8,D50
M25512,Pain in left shoulder,M25.512,M2551
R748,Abnormal levels of other serum enzymes,R74.8,R74
R440,Auditory hallucinations,R44.0,R44
R140,Abdominal distension (gaseous),R14.0,R14
R1013,Epigastric pain,R10.13,R101
E041,Nontoxic single thyroid nodule,E04.1,E04
L02519,Cutaneous abscess of unspecified hand,L02.519,L0251
N400,Benign prostatic hyperplasia without lower urinry tract symp,N40.0,N40
D229,"Melanocytic nevi, unspecified",D22.9,D22
J00,Acute nasopharyngitis [common cold],J00,
H5340,Unspecified visual field defects,H53.40,H534
M19042,"Primary osteoarthritis, left hand",M19.042,M1904
Q631,"Lobulated, fused and horseshoe kidney",Q63.1,Q63
A523,"Neurosyphilis, unspecified",A52.3,A52
G459,"Transient cerebral ischemic attack, unspecified",G45.9,G45
Z8669,Personal history of dis of the nervous sys and sense organs,Z86.69,Z866
T148XXA,"Other injury of unspecified body region, initial encounter",T14.8XXA,T148
I639,"Cerebral infarction, unspecified",I63.9,I63
R112,"Nausea with vomiting, unspecified",R11.2,R11
F89,Unspecified disorder of psychological development,F89,
H1045,Other chronic allergic conjunctivitis,H10.45,H104
J300,Vasomotor rhinitis,J30.0,J30
E1122,Type 2 diabetes mellitus w diabetic chronic kidney disease,E11.22,E112
R569,Unspecified convulsions,R56.9,R56
R278,Other lack of coordination,R27.8,R27
F10230,"Alcohol dependence with withdrawal, uncomplicated",F10.230,F1023
E1165,Type 2 diabetes mellitus with hyperglycemia,E11.65,E116
M25519,Pain in unspecified shoulder,M25.519,M2551
R109,Unspecified abdominal pain,R10.9,R10
J84112,Idiopathic pulmonary fibrosis,J84.112,J8411
Z1339,Encntr screen exam for other mental hlth and behavrl disord,Z13.39,Z133
R4182,"Altered mental status, unspecified",R41.82,R418
N400,Benign prostatic hyperplasia without lower urinry tract symp,N40.0,N40
R799,"Abnormal finding of blood chemistry, unspecified",R79.9,R79
L02811,"Cutaneous abscess of head [any part, except face]",L02.811,L0281
Z87820,Personal history of traumatic brain injury,Z87.820,Z8782
R5382,"Chronic fatigue, unspecified",R53.82,R538
J40,"Bronchitis, not specified as acute or chronic",J40,
Z09,Encntr for f/u exam aft trtmt for cond oth than malig neoplm,Z09,
B350,Tinea barbae and tinea capitis,B35.0,B35
Z8709,Personal history of other diseases of the respiratory system,Z87.09,Z870
S90811A,"Abrasion, right foot, initial encounter",S90.811A,S90811
H6692,"Otitis media, unspecified, left ear",H66.92,H669
S025XXB,"Fracture of tooth (traumatic), init encntr for open fracture",S02.5XXB,S025
N281,"Cyst of kidney, acquired",N28.1,N28
S41001D,"Unspecified open wound of right shoulder, subs encntr",S41.001D,S41001
Z8709,Personal history of other diseases of the respiratory system,Z87.09,Z870
M5416,"Radiculopathy, lumbar region",M54.16,M541
C50919,Malignant neoplasm of unsp site of unspecified female breast,C50.919,C5091
R21,Rash and other nonspecific skin eruption,R21,
Z98890,Other specified postprocedural states,Z98.890,Z9889
H259,Unspecified age-related cataract,H25.9,H25
N186,End stage renal disease,N18.6,N18
S01302D,"Unspecified open wound of left ear, subsequent encounter",S01.302D,S01302
J329,"Chronic sinusitis, unspecified",J32.9,J32
I214,Non-ST elevation (NSTEMI) myocardial infarction,I21.4,I21
R2689,Other abnormalities of gait and mobility,R26.89,R268
F919,"Conduct disorder, unspecified",F91.9,F91
Z125,Encounter for screening for malignant neoplasm of prostate,Z12.5,Z12
L89152,"Pressure ulcer of sacral region, stage 2",L89.152,L8915
S82291G,"Oth fx shaft of right tibia, subs for clos fx w delay heal",S82.291G,S82291
C787,Secondary malig neoplasm of liver and intrahepatic bile duct,C78.7,C78
S0093XA,"Contusion of unspecified part of head, initial encounter",S00.93XA,S0093
F332,"Major depressv disorder, recurrent severe w/o psych features",F33.2,F33
J159,Unspecified bacterial pneumonia,J15.9,J15
R0609,Other forms of dyspnea,R06.09,R060
D72829,"Elevated white blood cell count, unspecified",D72.829,D7282
G47419,Narcolepsy without cataplexy,G47.419,G4741
Z86011,Personal history of benign neoplasm of the brain,Z86.011,Z8601
D689,"Coagulation defect, unspecified",D68.9,D68
Z1211,Encounter for screening for malignant neoplasm of colon,Z12.11,Z121
S83412A,"Sprain of medial collateral ligament of left knee, init",S83.412A,S83412
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
S32592S,"Other specified fracture of left pubis, sequela",S32.592S,S32592
M4856XG,"Collapsed vert, NEC, lumbar region, subs for fx w delay heal",M48.56XG,M4856
I82409,Acute embolism and thombos unsp deep vn unsp lower extremity,I82.409,I8240
Z87448,Personal history of other diseases of urinary system,Z87.448,Z8744
H1010,"Acute atopic conjunctivitis, unspecified eye",H10.10,H101
Z0289,Encounter for other administrative examinations,Z02.89,Z028
G6281,Critical illness polyneuropathy,G62.81,G628
S81809D,"Unspecified open wound, unspecified lower leg, subs encntr",S81.809D,S81809
R32,Unspecified urinary incontinence,R32,
Z1231,Encntr screen mammogram for malignant neoplasm of breast,Z12.31,Z123
S90829A,"Blister (nonthermal), unspecified foot, initial encounter",S90.829A,S90829
R8279,Other abnormal findings on microbiolog examination of urine,R82.79,R827
S42002A,"Fracture of unsp part of left clavicle, init for clos fx",S42.002A,S42002
S0180XS,"Unspecified open wound of other part of head, sequela",S01.80XS,S0180
H15001,"Unspecified scleritis, right eye",H15.001,H1500
C4440,Unspecified malignant neoplasm of skin of scalp and neck,C44.40,C444
S0181XD,"Laceration w/o foreign body of oth part of head, subs encntr",S01.81XD,S0181
K589,Irritable bowel syndrome without diarrhea,K58.9,K58
E1151,Type 2 diabetes w diabetic peripheral angiopath w/o gangrene,E11.51,E115
E6601,Morbid (severe) obesity due to excess calories,E66.01,E660
E119,Type 2 diabetes mellitus without complications,E11.9,E11
E1342,Oth diabetes mellitus with diabetic polyneuropathy,E13.42,E134
E1121,Type 2 diabetes mellitus with diabetic nephropathy,E11.21,E112
E1165,Type 2 diabetes mellitus with hyperglycemia,E11.65,E116
E1122,Type 2 diabetes mellitus w diabetic chronic kidney disease,E11.22,E112
F200,Paranoid schizophrenia,F20.0,F20
E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,E11.42,E114
E1140,"Type 2 diabetes mellitus with diabetic neuropathy, unsp",E11.40,E114
Z8781,Personal history of (healed) traumatic fracture,Z87.81,Z878
B9689,Oth bacterial agents as the cause of diseases classd elswhr,B96.89,B968
S61402D,"Unspecified open wound of left hand, subsequent encounter",S61.402D,S61402
I69354,Hemiplga following cerebral infrc affecting left nondom side,I69.354,I6935
J42,Unspecified chronic bronchitis,J42,
L89209,"Pressure ulcer of unspecified hip, unspecified stage",L89.209,L8920
G3109,Other frontotemporal dementia,G31.09,G310
T8509XA,"Mech compl of ventricular intracranial shunt, init",T85.09XA,T8509
G4700,"Insomnia, unspecified",G47.00,G470
S065X9D,"Traum subdr hem w LOC of unsp duration, subs",S06.5X9D,S065X9
N429,"Disorder of prostate, unspecified",N42.9,N42
S32512D,"Fx superior rim of left pubis, subs for fx w routn heal",S32.512D,S32512
S0990XD,"Unspecified injury of head, subsequent encounter",S09.90XD,S0990
S82201A,"Unsp fracture of shaft of right tibia, init for clos fx",S82.201A,S82201
K046,Periapical abscess with sinus,K04.6,K04
J329,"Chronic sinusitis, unspecified",J32.9,J32
M9701XA,"Periprosth fracture around internal prosth r hip jt, init",M97.01XA,M9701
Z992,Dependence on renal dialysis,Z99.2,Z99
G249,"Dystonia, unspecified",G24.9,G24
N814,"Uterovaginal prolapse, unspecified",N81.4,N81
M4856XD,"Collapsed vert, NEC, lumbar region, subs for fx w routn heal",M48.56XD,M4856
M6284,Sarcopenia,M62.84,M628
S22009A,"Unsp fracture of unsp thoracic vertebra, init for clos fx",S22.009A,S22009
H6120,"Impacted cerumen, unspecified ear",H61.20,H612
E46,Unspecified protein-calorie malnutrition,E46,
J302,Other seasonal allergic rhinitis,J30.2,J30
L89159,"Pressure ulcer of sacral region, unspecified stage",L89.159,L8915
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
J329,"Chronic sinusitis, unspecified",J32.9,J32
J069,"Acute upper respiratory infection, unspecified",J06.9,J06
E1342,Oth diabetes mellitus with diabetic polyneuropathy,E13.42,E134
L03211,Cellulitis of face,L03.211,L0321
N644,Mastodynia,N64.4,N64
L97529,Non-pressure chronic ulcer oth prt left foot w unsp severity,L97.529,L9752
M159,"Polyosteoarthritis, unspecified",M15.9,M15
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
K121,Other forms of stomatitis,K12.1,K12
E1140,"Type 2 diabetes mellitus with diabetic neuropathy, unsp",E11.40,E114
D61818,Other pancytopenia,D61.818,D6181
I7389,Other specified peripheral vascular diseases,I73.89,I738
I493,Ventricular premature depolarization,I49.3,I49
E611,Iron deficiency,E61.1,E61
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
J189,"Pneumonia, unspecified organism",J18.9,J18
B354,Tinea corporis,B35.4,B35
T50901A,"Poisoning by unsp drug/meds/biol subst, accidental, init",T50.901A,T50901
M549,"Dorsalgia, unspecified",M54.9,M54
L98429,Non-pressure chronic ulcer of back with unspecified severity,L98.429,L9842
S12100D,"Unsp disp fx of 2nd cervcal vert, subs for fx w routn heal",S12.100D,S12100
Z8673,"Prsnl hx of TIA (TIA), and cereb infrc w/o resid deficits",Z86.73,Z867
H814,Vertigo of central origin,H81.4,H81
H1031,"Unspecified acute conjunctivitis, right eye",H10.31,H103
H6692,"Otitis media, unspecified, left ear",H66.92,H669
S7001XA,"Contusion of right hip, initial encounter",S70.01XA,S7001
L89629,"Pressure ulcer of left heel, unspecified stage",L89.629,L8962
G64,Other disorders of peripheral nervous system,G64,
H6993,"Unspecified Eustachian tube disorder, bilateral",H69.93,H699
J8410,"Pulmonary fibrosis, unspecified",J84.10,J841
D839,"Common variable immunodeficiency, unspecified",D83.9,D83
Z7409,Other reduced mobility,Z74.09,Z740
F5104,Psychophysiologic insomnia,F51.04,F510
I609,"Nontraumatic subarachnoid hemorrhage, unspecified",I60.9,I60
H547,Unspecified visual loss,H54.7,H54
S32019D,"Unsp fx first lum vertebra, subs for fx w routn heal",S32.019D,S32019
G43911,"Migraine, unspecified, intractable, with status migrainosus",G43.911,G4391
R809,"Proteinuria, unspecified",R80.9,R80
J439,"Emphysema, unspecified",J43.9,J43
R12,Heartburn,R12,
M1992,"Post-traumatic osteoarthritis, unspecified site",M19.92,M199
G2401,Drug induced subacute dyskinesia,G24.01,G240
D638,Anemia in other chronic diseases classified elsewhere,D63.8,D63
S0191XA,"Laceration w/o foreign body of unsp part of head, init",S01.91XA,S0191
F40240,Claustrophobia,F40.240,F4024
J9601,Acute respiratory failure with hypoxia,J96.01,J960
L03032,Cellulitis of left toe,L03.032,L0303
Z8639,"Personal history of endo, nutritional and metabolic disease",Z86.39,Z863
C61,Malignant neoplasm of prostate,C61,
Z9981,Dependence on supplemental oxygen,Z99.81,Z998
G808,Other cerebral palsy,G80.8,G80
H35712,"Central serous chorioretinopathy, left eye",H35.712,H3571
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
S32000D,"Wedge comprsn fx unsp lum vertebra, subs for fx w routn heal",S32.000D,S32000
N939,"Abnormal uterine and vaginal bleeding, unspecified",N93.9,N93
S81801D,"Unspecified open wound, right lower leg, subs encntr",S81.801D,S81801
B360,Pityriasis versicolor,B36.0,B36
S46912A,"Strain unsp musc/fasc/tend at shldr/up arm, left arm, init",S46.912A,S46912
W19XXXA,"Unspecified fall, initial encounter",W19.XXXA,W19
N952,Postmenopausal atrophic vaginitis,N95.2,N95
Z862,Prsnl history of dis of the bld/bld-form org/immun mechnsm,Z86.2,Z86
F339,"Major depressive disorder, recurrent, unspecified",F33.9,F33
K047,Periapical abscess without sinus,K04.7,K04
M1A9XX0,"Chronic gout, unspecified, without tophus (tophi)",M1A.9XX0,M1A9
M4804,"Spinal stenosis, thoracic region",M48.04,M480
S060X0A,"Concussion without loss of consciousness, initial encounter",S06.0X0A,S060X0
S61200A,"Unsp open wound of r idx fngr w/o damage to nail, init",S61.200A,S61200
H4020X0,"Unsp primary angle-closure glaucoma, stage unspecified",H40.20X0,H4020
H401190,"Primary open-angle glaucoma, unsp, stage unspecified",H40.1190,H40119
T5191XD,"Toxic effect of unsp alcohol, accidental, subs",T51.91XD,T5191
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
M26623,Arthralgia of bilateral temporomandibular joint,M26.623,M2662
S91301A,"Unspecified open wound, right foot, initial encounter",S91.301A,S91301
R431,Parosmia,R43.1,R43
M6282,Rhabdomyolysis,M62.82,M628
Z4802,Encounter for removal of sutures,Z48.02,Z480
J90,"Pleural effusion, not elsewhere classified",J90,
S72001A,"Fracture of unsp part of neck of right femur, init",S72.001A,S72001
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
I639,"Cerebral infarction, unspecified",I63.9,I63
J42,Unspecified chronic bronchitis,J42,
R42,Dizziness and giddiness,R42,
G252,Other specified forms of tremor,G25.2,G25
L89893,"Pressure ulcer of other site, stage 3",L89.893,L8989
L89309,"Pressure ulcer of unspecified buttock, unspecified stage",L89.309,L8930
S0180XA,"Unspecified open wound of other part of head, init encntr",S01.80XA,S0180
L03311,Cellulitis of abdominal wall,L03.311,L0331
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
G8194,"Hemiplegia, unspecified affecting left nondominant side",G81.94,G819
J439,"Emphysema, unspecified",J43.9,J43
L03041,Acute lymphangitis of right toe,L03.041,L0304
L89322,"Pressure ulcer of left buttock, stage 2",L89.322,L8932
L84,Corns and callosities,L84,
G311,"Senile degeneration of brain, not elsewhere classified",G31.1,G31
C679,"Malignant neoplasm of bladder, unspecified",C67.9,C67
Z8739,Personal history of diseases of the ms sys and conn tiss,Z87.39,Z873
I5030,Unspecified diastolic (congestive) heart failure,I50.30,I503
D492,"Neoplasm of unsp behavior of bone, soft tissue, and skin",D49.2,D49
I82599,Chronic embolism and thombos of deep vein of unsp low extrm,I82.599,I8259
N6453,Retraction of nipple,N64.53,N645
K224,Dyskinesia of esophagus,K22.4,K22
L22,Diaper dermatitis,L22,
H9193,"Unspecified hearing loss, bilateral",H91.93,H919
L0100,"Impetigo, unspecified",L01.00,L010
R52,"Pain, unspecified",R52,
R3915,Urgency of urination,R39.15,R391
Z87891,Personal history of nicotine dependence,Z87.891,Z8789
H00011,Hordeolum externum right upper eyelid,H00.011,H0001
K31819,Angiodysplasia of stomach and duodenum without bleeding,K31.819,K3181
S41102A,"Unspecified open wound of left upper arm, initial encounter",S41.102A,S41102
D638,Anemia in other chronic diseases classified elsewhere,D63.8,D63
I499,"Cardiac arrhythmia, unspecified",I49.9,I49
C50111,Malignant neoplasm of central portion of right female breast,C50.111,C5011
K122,Cellulitis and abscess of mouth,K12.2,K12
M25531,Pain in right wrist,M25.531,M2553
M7541,Impingement syndrome of right shoulder,M75.41,M754
R413,Other amnesia,R41.3,R41
L89609,"Pressure ulcer of unspecified heel, unspecified stage",L89.609,L8960
N319,"Neuromuscular dysfunction of bladder, unspecified",N31.9,N31
H903,"Sensorineural hearing loss, bilateral",H90.3,H90
M19071,"Primary osteoarthritis, right ankle and foot",M19.071,M1907
S069X0D,"Unsp intracranial injury w/o loss of consciousness, subs",S06.9X0D,S069X0
I5042,Chronic combined systolic and diastolic hrt fail,I50.42,I504
L03119,Cellulitis of unspecified part of limb,L03.119,L0311
S6990XS,"Unsp injury of unsp wrist, hand and finger(s), sequela",S69.90XS,S6990
Z720,Tobacco use,Z72.0,Z72
Z85038,Personal history of malignant neoplasm of large intestine,Z85.038,Z8503
L400,Psoriasis vulgaris,L40.0,L40
I69351,Hemiplga following cerebral infrc aff right dominant side,I69.351,I6935
I119,Hypertensive heart disease without heart failure,I11.9,I11
I69051,Hemiplga fol ntrm subarach hemor aff right dominant side,I69.051,I6905
S81809A,"Unspecified open wound, unspecified lower leg, init encntr",S81.809A,S81809
K900,Celiac disease,K90.0,K90
I420,Dilated cardiomyopathy,I42.0,I42
H5789,Other specified disorders of eye and adnexa,H57.89,H578
S31109A,"Unsp opn wnd abd wall, unsp q w/o penet perit cav, init",S31.109A,S31109
N400,Enlarged prostate without lower urinary tract symptoms,N40.0,N40
H9113,"Presbycusis, bilateral",H91.13,H911
F423,Hoarding disorder,F42.3,F42
J439,"Emphysema, unspecified",J43.9,J43
R4689,Other symptoms and signs involving appearance and behavior,R46.89,R468
L03115,Cellulitis of right lower limb,L03.115,L0311
E559,"Vitamin D deficiency, unspecified",E55.9,E55
K1379,Other lesions of oral mucosa,K13.79,K137
K222,Esophageal obstruction,K22.2,K22
R159,Full incontinence of feces,R15.9,R15
S01311A,"Laceration without foreign body of right ear, init encntr",S01.311A,S01311
J9811,Atelectasis,J98.11,J981
J939,"Pneumothorax, unspecified",J93.9,J93
C259,"Malignant neoplasm of pancreas, unspecified",C25.9,C25
K5909,Other constipation,K59.09,K590
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
L89150,"Pressure ulcer of sacral region, unstageable",L89.150,L8915
R260,Ataxic gait,R26.0,R26
J84112,Idiopathic pulmonary fibrosis,J84.112,J8411
I82599,Chronic embolism and thombos of deep vein of unsp low extrm,I82.599,I8259
N814,"Uterovaginal prolapse, unspecified",N81.4,N81
G2581,Restless legs syndrome,G25.81,G258
L89209,"Pressure ulcer of unspecified hip, unspecified stage",L89.209,L8920
M48061,"Spinal stenosis, lumbar region without neurogenic claud",M48.061,M4806
H10409,"Unspecified chronic conjunctivitis, unspecified eye",H10.409,H1040
W19XXXS,"Unspecified fall, sequela",W19.XXXS,W19
R030,"Elevated blood-pressure reading, w/o diagnosis of htn",R03.0,R03
E538,Deficiency of other specified B group vitamins,E53.8,E53
H40053,"Ocular hypertension, bilateral",H40.053,H4005
R6884,Jaw pain,R68.84,R688
D0590,Unspecified type of carcinoma in situ of unspecified breast,D05.90,D059
M79671,Pain in right foot,M79.671,M7967
Q2730,"Arteriovenous malformation, site unspecified",Q27.30,Q273
L89159,"Pressure ulcer of sacral region, unspecified stage",L89.159,L8915
E211,"Secondary hyperparathyroidism, not elsewhere classified",E21.1,E21
L02811,"Cutaneous abscess of head [any part, except face]",L02.811,L0281
W19XXXS,"Unspecified fall, sequela",W19.XXXS,W19
I959,"Hypotension, unspecified",I95.9,I95
H906,"Mixed conductive and sensorineural hearing loss, bilateral",H90.6,H90
T07XXXA,"Unspecified multiple injuries, initial encounter",T07.XXXA,T07
D72819,"Decreased white blood cell count, unspecified",D72.819,D7281
L89151,"Pressure ulcer of sacral region, stage 1",L89.151,L8915
S52501D,"Unsp fx the lower end r rad, subs for clos fx w routn heal",S52.501D,S52501
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
L97221,Non-prs chronic ulcer of left calf limited to brkdwn skin,L97.221,L9722
G319,"Degenerative disease of nervous system, unspecified",G31.9,G31
Z8739,Personal history of diseases of the ms sys and conn tiss,Z87.39,Z873
E108,Type 1 diabetes mellitus with unspecified complications,E10.8,E10
S52021D,"Disp fx of olecran pro w/o intartic extn r ulna, 7thD",S52.021D,S52021
G3101,Pick's disease,G31.01,G310
C4490,"Unspecified malignant neoplasm of skin, unspecified",C44.90,C449
E860,Dehydration,E86.0,E86
M5126,"Other intervertebral disc displacement, lumbar region",M51.26,M512
R895,Abnormal microbiolog findings in specimens from oth org/tiss,R89.5,R89
F5105,Insomnia due to other mental disorder,F51.05,F510
M109,"Gout, unspecified",M10.9,M10
F5109,Oth insomnia not due to a substance or known physiol cond,F51.09,F510
D638,Anemia in other chronic diseases classified elsewhere,D63.8,D63
J159,Unspecified bacterial pneumonia,J15.9,J15
L03114,Cellulitis of left upper limb,L03.114,L0311
F17290,"Nicotine dependence, other tobacco product, uncomplicated",F17.290,F1729
J309,"Allergic rhinitis, unspecified",J30.9,J30
N898,Other specified noninflammatory disorders of vagina,N89.8,N89
K146,Glossodynia,K14.6,K14
M4856XA,"Collapsed vertebra, NEC, lumbar region, init",M48.56XA,M4856
I96,"Gangrene, not elsewhere classified",I96,
S22000D,"Wedge comprsn fx unsp thor vert, subs for fx w routn heal",S22.000D,S22000
I69354,Hemiplga following cerebral infrc affecting left nondom side,I69.354,I6935
S80861A,"Insect bite (nonvenomous), right lower leg, init encntr",S80.861A,S80861
H1013,"Acute atopic conjunctivitis, bilateral",H10.13,H101
H0530,Unspecified deformity of orbit,H05.30,H053
F99,"Mental disorder, not otherwise specified",F99,
S51801A,"Unspecified open wound of right forearm, initial encounter",S51.801A,S51801
R3129,Other microscopic hematuria,R31.29,R312
S72002G,"Fx unsp part of nk of l femr, subs for clos fx w delay heal",S72.002G,S72002
M3392,"Dermatopolymyositis, unspecified with myopathy",M33.92,M339
Z9181,History of falling,Z91.81,Z918
Z634,Disappearance and death of family member,Z63.4,Z63
Z8619,Personal history of other infectious and parasitic diseases,Z86.19,Z861
N952,Postmenopausal atrophic vaginitis,N95.2,N95
J209,"Acute bronchitis, unspecified",J20.9,J20
R102,Pelvic and perineal pain,R10.2,R10
M19049,"Primary osteoarthritis, unspecified hand",M19.049,M1904
M79641,Pain in right hand,M79.641,M7964
S93401A,"Sprain of unspecified ligament of right ankle, init encntr",S93.401A,S93401
S32059G,"Unsp fx fifth lum vertebra, subs for fx w delay heal",S32.059G,S32059
I2720,"Pulmonary hypertension, unspecified",I27.20,I272
L710,Perioral dermatitis,L71.0,L71
H5462,"Unqualified visual loss, left eye, normal vision right eye",H54.62,H546
D510,Vitamin B12 defic anemia due to intrinsic factor deficiency,D51.0,D51
I639,"Cerebral infarction, unspecified",I63.9,I63
R54,Age-related physical debility,R54,
R296,Repeated falls,R29.6,R29
E870,Hyperosmolality and hypernatremia,E87.0,E87
H109,Unspecified conjunctivitis,H10.9,H10
I255,Ischemic cardiomyopathy,I25.5,I25
B3781,Candidal esophagitis,B37.81,B378
N3289,Other specified disorders of bladder,N32.89,N328
I5032,Chronic diastolic (congestive) heart failure,I50.32,I503
S32009A,"Unsp fracture of unsp lumbar vertebra, init for clos fx",S32.009A,S32009
H1032,"Unspecified acute conjunctivitis, left eye",H10.32,H103
K5904,Chronic idiopathic constipation,K59.04,K590
M9701XA,"Periprosth fracture around internal prosth r hip jt, init",M97.01XA,M9701
Z720,Tobacco use,Z72.0,Z72
M1009,"Idiopathic gout, multiple sites",M10.09,M100
M79644,Pain in right finger(s),M79.644,M7964
R252,Cramp and spasm,R25.2,R25
M419,"Scoliosis, unspecified",M41.9,M41
J9811,Atelectasis,J98.11,J981
Z4802,Encounter for removal of sutures,Z48.02,Z480
M79675,Pain in left toe(s),M79.675,M7967
I2584,Coronary atherosclerosis due to calcified coronary lesion,I25.84,I258
Z8711,Personal history of peptic ulcer disease,Z87.11,Z871
J339,"Nasal polyp, unspecified",J33.9,J33
L03113,Cellulitis of right upper limb,L03.113,L0311
S80211D,"Abrasion, right knee, subsequent encounter",S80.211D,S80211
M21379,"Foot drop, unspecified foot",M21.379,M2137
M5442,"Lumbago with sciatica, left side",M54.42,M544
K52839,"Microscopic colitis, unspecified",K52.839,K5283
S82831G,"Oth fx upr & low end r fibula, subs for clos fx w delay heal",S82.831G,S82831
J300,Vasomotor rhinitis,J30.0,J30
J029,"Acute pharyngitis, unspecified",J02.9,J02
G600,Hereditary motor and sensory neuropathy,G60.0,G60
K439,Ventral hernia without obstruction or gangrene,K43.9,K43
R000,"Tachycardia, unspecified",R00.0,R00
J339,"Nasal polyp, unspecified",J33.9,J33
N3000,Acute cystitis without hematuria,N30.00,N300
E876,Hypokalemia,E87.6,E87
M79604,Pain in right leg,M79.604,M7960
L0292,"Furuncle, unspecified",L02.92,L029
R443,"Hallucinations, unspecified",R44.3,R44
C50112,Malignant neoplasm of central portion of left female breast,C50.112,C5011
S91102A,"Unsp open wound of left great toe w/o damage to nail, init",S91.102A,S91102
Z8551,Personal history of malignant neoplasm of bladder,Z85.51,Z855
F445,Conversion disorder with seizures or convulsions,F44.5,F44
F4312,"Post-traumatic stress disorder, chronic",F43.12,F431
Z79891,Long term (current) use of opiate analgesic,Z79.891,Z7989
Z5181,Encounter for therapeutic drug level monitoring,Z51.81,Z518
Z79899,Other long term (current) drug therapy,Z79.899,Z7989
K2101,"Gastro-esophageal reflux dis with esophagitis, with bleed",K21.01,K210
W57XXXA,"Bit/stung by nonvenom insect & oth nonvenom arthropods, init",W57.XXXA,W57
Z853,Personal history of malignant neoplasm of breast,Z85.3,Z85
I679,"Cerebrovascular disease, unspecified",I67.9,I67
J111,Flu due to unidentified influenza virus w oth resp manifest,J11.1,J11
I872,Venous insufficiency (chronic) (peripheral),I87.2,I87
Z862,Prsnl history of dis of the bld/bld-form org/immun mechnsm,Z86.2,Z86
Z86718,Personal history of other venous thrombosis and embolism,Z86.718,Z8671
Z4800,Encounter for change or removal of nonsurg wound dressing,Z48.00,Z480
Z0001,Encounter for general adult medical exam w abnormal findings,Z00.01,Z000
J439,"Emphysema, unspecified",J43.9,J43
